Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,ExhaustionLevel,Performance.Task
"0,4929377169","0,3321251415","0,3013614951","0,421194284","0,8058887889","0,3135597249","0,1842813401","0,6512657305","0,6",1
"0,5006056979","0,4370166411","0,3277888961","0,419079852","0,24922579","0,250552547","0,1810590439","0,4824269634","0,6",1
"0,4929377169","0,4549413059","0,3521734382","0,4236517007","0,2130607887","0,2641954697","0,1852370817","0,4936828058","0,6",1
"0,4996007826","0,4677714858","0,3708030462","0,4255724426","0,2646059006","0,2532849512","0,1886534039","0,6569448511","0,4",1
"0,4992160992","0,4023486515","0,3105191177","0,4457325643","0,3374731278","0,2157261701","0,2108751331","0,2020872994","0,4",1
"0,500131358","0,4110937369","0,3265616653",1,"0,3641203156","0,2137852101","0,5438298507","0,1946506769","0,4",1
"0,4998612639","0,4016913765","0,3208202555","0,4956788251","0,2411670847","0,215364308","0,1832807741","0,2239984268","0,4",1
"0,5000826726","0,4284935199","0,3376269791","0,5564879018","0,2345637971","0,2149209196","0,2333978202","0,1994956422","0,4",1
"0,4989044446","0,4133219053","0,3341333993","0,426481651","0,2774557694","0,2248579847","0,1984593054","0,2493980848","0,4",1
"0,5577198","0,4182786035","0,3284680531","0,4220024925","0,2130607887","0,2520358692","0,172349099","0,4430291","0,4",1
"0,499453382","0,382479502","0,3099440928","0,4994067101","0,3815288425","0,2186624054","0,2451183967","0,2056387613","0,4",1
"0,4992457241","0,4183057967","0,3290194129","0,4432384829","0,338367792","0,2372699175","0,1722925634","0,2585035855","0,4",1
"0,4929377169","0,3919843973","0,3079596556","0,439485694","0,2115575799","0,2159008965","0,1827292877","0,1983916232","0,4",1
"0,4990825166","0,4846393064","0,3859097503","0,4350878175","0,2140629279","0,3279369787","0,1771843578","0,6727727917","0,2",1
"0,4929377169","0,4371188073","0,3495090058","0,4378861749","0,2115575799","0,2610465574","0,1689978564","0,4649205261","0,2",1
"0,4988091251","0,4119878522","0,3261987899","0,4267553932","0,2125597191","0,2641690782","0,1761079705","0,3876423683","0,2",1
"0,4929377169","0,4318541805","0,3356789436","0,4290586055","0,2115575799","0,5227740143","0,1985821827",1,"0,2",1
"0,4929377169","0,4134533396","0,3216390989","0,5115882021","0,2175704152","0,2406712677","0,2577727909","0,2494697064","0,2",1
"0,4929377169","0,3986597299","0,2915571589","0,5906972704","0,2125597191","0,4334043768","0,1871070452","0,5970972332","0,2",1
"0,5001091296","0,4223215517","0,3295214071","0,5022189257","0,3738561543","0,3106224671","0,2552683747","0,4851055317","0,2",1
"0,5025610981","0,4089263557","0,3246109651","0,5087972188","0,2516723796","0,3870566857","0,2765059539","0,4961745756","0,2",1
"0,4995785615","0,3882424352","0,3128549387","0,4516089868","0,292863797","0,2154959252","0,1665085674","0,1967730997","0,2",1
"0,499891652","0,4196578321","0,3292522421","0,5053521953","0,2448502712","0,226589674","0,202397547","0,2495366232","0,2",1
"0,4995595471","0,393469839","0,3117106078","0,447458374","0,3055838506","0,21268947","0,1828009669","0,1847050213","0,2",1
"0,4995540026","0,4192114402","0,3357537573","0,4591038851","0,3069225838","0,228801058","0,1877882706","0,237585022",0,1
"0,499834732","0,4110586275","0,3225451108","0,4508954684","0,2416810567","0,2377102925","0,2547359263","0,2569871498",0,1
"0,4990918434","0,3776776597","0,3055639618","0,4646012807","0,2500948169","0,229383665","0,1934585822","0,2082229787",0,1
"0,4992921617","0,4175049456","0,3287394555","0,4481358873","0,2375272298","0,2194648651","0,2149969937","0,2308134024",0,1
"0,4995982431","0,3904304576","0,3118287077","0,4432341879","0,2871799184","0,2162027063","0,185329623","0,2125761454",0,1
"0,5356388672","0,4825216222","0,3619735432","0,4951878579","0,3683710321","0,4144907214","0,642780921","0,9851263109",0,1
"0,5285567252","0,4317077618","0,3312638727","0,4210398985","0,3115588716","0,2226018875","0,1760412356","0,2733948802",0,1
"0,5002580519","0,4332410174","0,3381888777","0,4247370653","0,364870624","0,2709119968","0,1752271369","0,5608965599",0,1
"0,5012390832","0,4618320984","0,3618178347","0,4195162103","0,4525058632","0,243557126","0,1742186377","0,3915262608",0,1
"0,500171682","0,4502376148","0,3578175733","0,4209738247","0,3550195665","0,2331210676","0,1774171199","0,3301748058",0,1
"0,5180096489","0,4353324701","0,3486321247","0,4210108607","0,4572402207","0,2342735909","0,1737075506","0,330320446",0,1
"0,5000022065","0,4638785788","0,3640771231","0,4231575426","0,319605647","0,2773452291","0,1683241013","0,5392936848",0,1
"0,500305518","0,4256625093","0,331494793","0,4218105917","0,3305998851","0,2474957731","0,169510954","0,3731661256",0,1
